date,price,index_name,year,month,day,month_key,quarter_key,week_key,return_factor,investment_signal,cash_inflow,cash_balance,contribution,invested_wealth,wealth,total_contribution,wealth_return
2006-09-21,1740.9,Shanghai Composite,2006,9,21,200609,20063,200638,1.0048774856417213,False,0.047619047619047616,0.7142857142857142,0.0,444.6610932017615,445.3753789160472,189.0,1.3476111840454297
2006-09-22,1725.36,Shanghai Composite,2006,9,22,200609,20063,200638,0.9910735826296742,False,0.047619047619047616,0.7619047619047619,0.0,440.6918626954972,441.45376745740197,189.0,1.3263561145810394
2006-09-25,1722.37,Shanghai Composite,2006,9,25,200609,20063,200639,0.9982670283303194,False,0.047619047619047616,0.8095238095238095,0.0,439.9281561823871,440.7376799919109,189.0,1.3219998193251707
2006-09-26,1712.64,Shanghai Composite,2006,9,26,200609,20063,200639,0.9943508073178238,False,0.047619047619047616,0.8571428571428571,0.0,437.4429172617983,438.30006011894113,189.0,1.3085781947574024
2006-09-27,1725.04,Shanghai Composite,2006,9,27,200609,20063,200639,1.007240284005979,False,0.047619047619047616,0.9047619047619047,0.0,440.61012821917774,441.51489012393967,189.0,1.3249279570217487
2006-09-28,1736.96,Shanghai Composite,2006,9,28,200609,20063,200639,1.006909984696007,False,0.047619047619047616,0.9523809523809523,0.0,443.65473746207795,444.6071184144589,189.0,1.340624087917683
2006-09-29,1752.42,Shanghai Composite,2006,9,29,200609,20063,200639,1.0089006079587326,True,0.047619047619047616,1.0,1.0,448.60353434926236,448.60353434926236,190.0,1.3610712334171704
2006-10-09,1785.39,Shanghai Composite,2006,10,9,200610,20064,200641,1.018813982949293,False,0.058823529411764705,0.058823529411764705,0.0,457.043553595502,457.10237712491374,190.0,1.4050573850583516
2006-10-10,1784.86,Shanghai Composite,2006,10,10,200610,20064,200641,0.99970314609133,False,0.058823529411764705,0.11764705882352941,0.0,456.9078784301848,457.0255254890083,190.0,1.4039090140201549
2006-10-11,1790.1,Shanghai Composite,2006,10,11,200610,20064,200641,1.0029358044888674,False,0.058823529411764705,0.1764705882352941,0.0,458.249270630679,458.4257412189143,190.0,1.4105281783858779
2006-10-12,1778.18,Shanghai Composite,2006,10,12,200610,20064,200641,0.993341154125468,False,0.058823529411764705,0.23529411764705882,0.0,455.1978593654326,455.43315348307965,190.0,1.3940518272147044
2006-10-13,1784.66,Shanghai Composite,2006,10,13,200610,20064,200641,1.0036441755052918,False,0.058823529411764705,0.29411764705882354,0.0,456.8566802545933,457.15079790165214,190.0,1.4023380415233655
2006-10-16,1771.3,Shanghai Composite,2006,10,16,200610,20064,200642,0.9925139802539419,False,0.058823529411764705,0.3529411764705882,0.0,453.4366421250889,453.7895833015595,190.0,1.3839378603604797
2006-10-17,1763.9,Shanghai Composite,2006,10,17,200610,20064,200642,0.9958222774233615,False,0.058823529411764705,0.4117647058823529,0.0,451.54230962820776,451.95407433409014,190.0,1.3735617125979402
