date,price
2014-01-01,322.5199890136719
2014-02-01,338.0199890136719
2014-03-01,334.30999755859375
2014-04-01,337.8900146484375
2014-05-01,344.239990234375
2014-06-01,341.8599853515625
2014-07-01,335.989990234375
2014-08-01,342.0
2014-09-01,343.0799865722656
2014-10-01,336.79998779296875
2014-11-01,347.25
2014-12-01,342.5400085449219
2015-01-01,367.04998779296875
2015-02-01,392.2099914550781
2015-03-01,397.29998779296875
2015-04-01,395.7900085449219
2015-05-01,399.8699951171875
2015-06-01,381.30999755859375
2015-07-01,396.3699951171875
2015-08-01,362.7900085449219
2015-09-01,347.7699890136719
2015-10-01,375.4700012207031
2015-11-01,385.42999267578125
2015-12-01,365.80999755859375
2016-01-01,342.2699890136719
2016-02-01,333.9200134277344
2016-03-01,337.5400085449219
2016-04-01,341.4800109863281
2016-05-01,347.45001220703125
2016-06-01,329.8800048828125
2016-07-01,341.8900146484375
2016-08-01,343.5299987792969
2016-09-01,342.9200134277344
2016-10-01,338.9700012207031
2016-11-01,341.989990234375
2016-12-01,361.4200134277344
2017-01-01,360.1199951171875
2017-02-01,370.239990234375
2017-03-01,381.1400146484375
2017-04-01,387.0899963378906
2017-05-01,389.989990234375
2017-06-01,379.3699951171875
2017-07-01,377.8500061035156
2017-08-01,373.8800048828125
2017-09-01,388.1600036621094
2017-10-01,395.2200012207031
2017-11-01,386.69000244140625
2017-12-01,389.17999267578125
2018-01-01,395.4599914550781
2018-02-01,379.6300048828125
2018-03-01,370.8699951171875
2018-04-01,385.32000732421875
2018-05-01,383.05999755859375
2018-06-01,379.92999267578125
2018-07-01,391.6099853515625
2018-08-01,382.260009765625
2018-09-01,383.17999267578125
2018-10-01,361.6099853515625
2018-11-01,357.489990234375
2018-12-01,337.6499938964844
2019-01-01,358.6700134277344
2019-02-01,372.79998779296875
2019-03-01,379.0899963378906
2019-04-01,391.3500061035156
2019-05-01,369.05999755859375
2019-06-01,384.8699951171875
2019-07-01,385.7699890136719
2019-08-01,379.4800109863281
2019-09-01,393.1499938964844
2019-10-01,396.75
2019-11-01,407.42999267578125
2019-12-01,415.8399963378906
2020-01-01,410.7099914550781
2020-02-01,375.6499938964844
2020-03-01,320.05999755859375
2020-04-01,340.0299987792969
2020-05-01,350.3599853515625
2020-06-01,360.3399963378906
2020-07-01,356.3299865722656
2020-08-01,366.510009765625
2020-09-01,361.0899963378906
2020-10-01,342.3599853515625
2020-11-01,389.3599853515625
2020-12-01,399.0299987792969
2021-01-01,395.8500061035156
2021-02-01,404.989990234375
2021-03-01,429.6000061035156
2021-04-01,437.3900146484375
2021-05-01,446.760009765625
2021-06-01,452.8399963378906
2021-07-01,461.739990234375
2021-08-01,470.8800048828125
2021-09-01,454.80999755859375
2021-10-01,475.510009765625
2021-11-01,462.9599914550781
2021-12-01,487.79998779296875
2022-01-01,468.8800048828125
2022-02-01,453.1099853515625
2022-03-01,455.8599853515625
2022-04-01,450.3900146484375
2022-05-01,443.3500061035156
2022-06-01,407.20001220703125
2022-07-01,438.2900085449219
2022-08-01,415.1199951171875
2022-09-01,387.8500061035156
2022-10-01,412.20001220703125
2022-11-01,440.0400085449219
2022-12-01,424.8900146484375
2023-01-01,453.2099914550781
2023-02-01,461.1099853515625
2023-03-01,457.8399963378906
2023-04-01,466.6400146484375
2023-05-01,451.760009765625
2023-06-01,461.92999267578125
2023-07-01,471.3500061035156
2023-08-01,458.19000244140625
2023-09-01,450.2200012207031
2023-10-01,433.6600036621094
2023-11-01,461.6099853515625
2023-12-01,479.0199890136719
2024-01-01,485.6700134277344
2024-02-01,494.6099853515625
2024-03-01,512.6699829101562
2024-04-01,504.8900146484375
2024-05-01,518.1699829101562
2024-06-01,511.4200134277344
2024-07-01,518.1799926757812
2024-08-01,525.0499877929688
2024-09-01,522.8900146484375
2024-10-01,505.3900146484375
2024-11-01,510.25
2024-12-01,507.6199951171875
2025-01-01,539.530029296875
2025-02-01,557.1900024414062
2025-03-01,533.9199829101562
2025-04-01,527.47998046875
2025-05-01,548.6699829101562
2025-06-01,541.3699951171875
2025-07-01,546.1099853515625
2025-08-01,550.1400146484375
2025-09-01,558.1799926757812
2025-10-01,571.8900146484375
2025-11-01,576.4299926757812
2025-12-01,592.1900024414062
2026-01-01,611.0
2026-02-01,633.8499755859375
2026-03-01,573.280029296875
2026-03-20,573.280029296875
