date,price,index_name,year,month,day,month_key,quarter_key,week_key,return_factor,investment_signal,cash_inflow,cash_balance,contribution,invested_wealth,wealth,total_contribution,wealth_return,all_time_high,all_time_high_flag,segment_reference_high,drawdown_from_reference_high,threshold_hit
2016-11-01,341.989990234375,STOXX Europe 600,2016,11,1,201611,20164,201644,1.0089093105667057,False,1.0,15.0,0.0,130.95487204405393,145.95487204405393,136.0,-0.03341144341686142,399.8699951171875,False,399.8699951171875,-0.1447470567674125,False
2016-12-01,361.4200134277344,STOXX Europe 600,2016,12,1,201612,20164,201648,1.0568145961817288,False,1.0,16.0,0.0,138.39502021726682,154.39502021726682,136.0,0.015756711955702718,399.8699951171875,False,399.8699951171875,-0.09615620616441811,False
2017-01-01,360.1199951171875,STOXX Europe 600,2017,1,1,201701,20171,201652,0.9964030262236521,False,1.0,17.0,0.0,137.89721695876818,154.89721695876818,136.0,0.01240011084162207,399.8699951171875,False,399.8699951171875,-0.09940730858875946,False
2017-02-01,370.239990234375,STOXX Europe 600,2017,2,1,201702,20171,201705,1.0281017306853355,False,1.0,18.0,0.0,141.77236741200076,159.77236741200076,136.0,0.037482905272732125,399.8699951171875,False,399.8699951171875,-0.07409909531753944,False
2017-03-01,381.1400146484375,STOXX Europe 600,2017,3,1,201703,20171,201709,1.0294404297254935,False,1.0,19.0,0.0,145.9462068318106,164.9462068318106,136.0,0.06416907633426194,399.8699951171875,False,399.8699951171875,-0.04684017480046465,False
2017-04-01,387.0899963378906,STOXX Europe 600,2017,4,1,201704,20172,201713,1.015611012910679,False,1.0,20.0,0.0,148.22457495092664,168.22457495092664,136.0,0.07836265994183744,399.8699951171875,False,399.8699951171875,-0.03196038446333416,False
2017-05-01,389.989990234375,STOXX Europe 600,2017,5,1,201705,20172,201718,1.0074917820763132,False,1.0,21.0,0.0,149.33504116481313,170.33504116481313,136.0,0.08493656792874615,399.8699951171875,False,399.8699951171875,-0.024708042622495374,False
2017-06-01,379.3699951171875,STOXX Europe 600,2017,6,1,201706,20172,201722,0.9727685443649332,False,1.0,22.0,0.0,145.26843061657266,167.26843061657266,136.0,0.058660953269447313,399.8699951171875,False,399.8699951171875,-0.05126666229105836,False
2017-07-01,377.8500061035156,STOXX Europe 600,2017,7,1,201707,20173,201726,0.9959933863161679,False,1.0,23.0,0.0,144.68639613463546,167.68639613463546,136.0,0.05463142223041162,399.8699951171875,False,399.8699951171875,-0.05506787026423077,False
2017-08-01,373.8800048828125,STOXX Europe 600,2017,8,1,201708,20173,201731,0.9894931820654371,False,1.0,24.0,0.0,143.1662025128408,167.1662025128408,136.0,0.04478876570525503,399.8699951171875,False,399.8699951171875,-0.06499610011188328,False
2017-09-01,388.1600036621094,STOXX Europe 600,2017,9,1,201709,20173,201735,1.0381940692008196,False,1.0,25.0,0.0,148.63430235883482,173.63430235883482,136.0,0.07847392769462624,399.8699951171875,False,399.8699951171875,-0.029284496456520426,False
2017-10-01,395.2200012207031,STOXX Europe 600,2017,10,1,201710,20174,201739,1.0181883694661633,False,1.0,26.0,0.0,151.33771796548274,177.33771796548274,136.0,0.09467727139186866,399.8699951171875,False,399.8699951171875,-0.011628764231538913,False
2017-11-01,386.69000244140625,STOXX Europe 600,2017,11,1,201711,20174,201744,0.97841708731099,False,1.0,27.0,0.0,148.0714092120797,175.0714092120797,136.0,0.07405772522748277,399.8699951171875,False,399.8699951171875,-0.032960694317458517,False
2017-12-01,389.17999267578125,STOXX Europe 600,2017,12,1,201712,20174,201748,1.0064392413009238,False,1.0,28.0,0.0,149.0248767457641,177.0248767457641,136.0,0.07941998015709806,399.8699951171875,False,399.8699951171875,-0.026733694880690884,False
