date,price,index_name,year,month,day,month_key,quarter_key,week_key,return_factor,investment_signal,cash_inflow,cash_balance,contribution,invested_wealth,wealth,total_contribution,wealth_return,all_time_high,all_time_high_flag
1967-07-03,71.11,Nasdaq Composite,1967,7,3,196707,19673,196727,1.0032449209932282,False,0.05,0.9136363636363637,0.0,596.2926003466644,597.2062367103007,209.13636363636365,1.843162279030234,72.91,False
1967-07-05,71.49,Nasdaq Composite,1967,7,5,196707,19673,196727,1.0053438334973983,False,0.05,0.9636363636363636,0.0,599.4790887186475,600.4427250822839,209.13636363636365,1.8578901717386191,72.91,False
1967-07-06,71.49,Nasdaq Composite,1967,7,6,196707,19673,196727,1.0,False,0.05,1.0136363636363637,0.0,599.4790887186475,600.4927250822839,209.13636363636365,1.8574481326780101,72.91,False
1967-07-07,71.81,Nasdaq Composite,1967,7,7,196707,19673,196727,1.004476150510561,False,0.05,1.0636363636363637,0.0,602.1624473476861,603.2260837113225,209.13636363636365,1.8697720442974428,72.91,False
1967-07-10,72.12,Nasdaq Composite,1967,7,10,196707,19673,196728,1.0043169475003482,False,0.05,1.1136363636363638,0.0,604.7619510195673,605.8755873832037,209.13636363636365,1.8816912598487683,72.91,False
1967-07-11,72.48,Nasdaq Composite,1967,7,11,196707,19673,196728,1.004991680532446,False,0.05,1.1636363636363636,0.0,607.7807294772357,608.944365840872,209.13636363636365,1.8955985061382408,72.91,False
1967-07-12,72.45,Nasdaq Composite,1967,7,12,196707,19673,196728,0.9995860927152318,False,0.05,1.2136363636363636,0.0,607.5291646057633,608.7428009693997,209.13636363636365,1.893951989395767,72.91,False
1967-07-13,72.49,Nasdaq Composite,1967,7,13,196707,19673,196728,1.0005521048999308,False,0.05,1.2636363636363637,0.0,607.8645844343931,609.1282207980295,209.13636363636365,1.8950961064545124,72.91,False
1967-07-14,72.77,Nasdaq Composite,1967,7,14,196707,19673,196728,1.0038626017381709,False,0.05,1.3136363636363637,0.0,610.2125232348019,611.5261595984383,209.13636363636365,1.9058026115392646,72.91,False
1967-07-17,72.8,Nasdaq Composite,1967,7,17,196707,19673,196729,1.0004122577985435,False,0.05,1.3636363636363638,0.0,610.4640881062743,611.8277244699107,209.13636363636365,1.9065450093582452,72.91,False
1967-07-18,73.42,Nasdaq Composite,1967,7,18,196707,19673,196729,1.0085164835164835,False,0.05,1.4136363636363636,0.0,615.6630954500365,617.0767318136728,209.13636363636365,1.9307847628291275,73.42,True
1967-07-19,73.56,Nasdaq Composite,1967,7,19,196707,19673,196729,1.0019068373740125,False,0.05,1.4636363636363636,0.0,616.8370648502408,618.3007012138772,209.13636363636365,1.9359007654979923,73.56,True
1967-07-20,73.75,Nasdaq Composite,1967,7,20,196707,19673,196729,1.0025829255029908,False,0.05,1.5136363636363637,0.0,618.4303090362325,619.9439453998689,209.13636363636365,1.9430047253732203,73.75,True
1967-07-21,73.93,Nasdaq Composite,1967,7,21,196707,19673,196729,1.0024406779661017,False,0.05,1.5636363636363637,0.0,619.9396982650668,621.5033346287032,209.13636363636365,1.949707330938316,73.93,True
1967-07-24,73.71,Nasdaq Composite,1967,7,24,196707,19673,196730,0.9970242120925198,False,0.05,1.6136363636363638,0.0,618.0948892076027,619.7085255712391,209.13636363636365,1.9404912245373143,73.93,False
1967-07-25,73.36,Nasdaq Composite,1967,7,25,196707,19673,196730,0.9952516619183287,True,0.05,1.6636363636363638,1.6636363636363638,616.8236020707282,616.8236020707282,210.8,1.9261081692159778,73.93,False
1967-07-26,74.03,Nasdaq Composite,1967,7,26,196707,19673,196730,1.0091330425299891,False,0.05,0.05,0.0,622.4570782619412,622.5070782619412,210.8,1.9523693538626565,74.03,True
1967-07-27,74.28,Nasdaq Composite,1967,7,27,196707,19673,196730,1.0033770093205456,False,0.05,0.1,0.0,624.5591216168714,624.6591216168714,210.8,1.96187350221371,74.28,True
1967-07-28,74.42,Nasdaq Composite,1967,7,28,196707,19673,196730,1.001884760366182,False,0.05,0.15000000000000002,0.0,625.7362658956323,625.8862658956323,210.8,1.9669886982490268,74.42,True
