horizon_years,contribution_interval_days,window_stride_days,window_number,start_date,end_date,final_relative_advantage,mean_relative_advantage,median_relative_advantage,std_relative_advantage,percent_time_btd_better,annual_return_btd,annual_return_dca,annual_alpha
6,90,12821,2,1985-02-09,1991-02-10,0.1102170841754111,0.18771331114854467,0.13275851342116285,0.19899496967955763,0.9584432717678101,0.06862361530193017,0.05731452415304994,0.011309091148880235
6,90,19232,3,2002-08-30,2008-08-30,0.10187963428033542,0.16071311723780418,0.10506348628749107,0.16226771361027767,0.9589675711449371,0.021348419169149535,0.011825051819922106,0.00952336734922743
6,90,25643,4,2020-03-19,2026-03-20,0.12463098248108428,0.2465948963481773,0.147001676206441,0.27187129254840203,0.9595758780649437,0.05472756509846177,0.0413451103965905,0.013382454701871271
6,120,0,0,1950-01-03,1956-01-04,0.11376953449353344,0.20495316085294515,0.1308473473566798,0.20341135707517843,0.938125,0.0988891212197085,0.08910324973051398,0.00978587148919452
6,120,6410,1,1967-07-23,1973-07-23,0.1106485734108884,0.14129598289983059,0.11064857341088818,0.14458939035699112,0.9441077441077441,0.01797687519999669,0.009379493906592318,0.008597381293404371
6,120,12821,2,1985-02-09,1991-02-10,0.13813018762302387,0.25220137426765876,0.1771073733141657,0.22949861167814362,0.945910290237467,0.0682185203974135,0.0548715381560434,0.013346982241370098
6,120,19232,3,2002-08-30,2008-08-30,0.11935100090351414,0.19026397224849145,0.12332103484837642,0.21294995692072652,0.9457313037723362,0.022514257177844055,0.012560240406568779,0.009954016771275276
6,120,25643,4,2020-03-19,2026-03-20,0.1488666479696854,0.29843876011288295,0.1817434322708833,0.3164248572279613,0.9456593770709079,0.056202387174793644,0.041398918465633594,0.01480346870916005
7,15,0,0,1950-01-03,1957-01-03,0.018348934288511476,0.031360442571988924,0.018420317392055185,0.0672128154239454,0.993517017828201,0.0760894394581717,0.07419775547717644,0.0018916839809952624
7,15,6319,1,1967-04-23,1974-04-23,0.022217669503210802,0.0277383435996664,0.016019049675831898,0.040034480979472716,0.9942462600690449,-0.00251936482561832,-0.004812932938783043,0.0022935681131647234
7,15,12639,2,1984-08-11,1991-08-12,0.02421743477511029,0.03381250928627267,0.024628280694843907,0.047788748726710926,0.9943470887507067,0.0647056906165584,0.061959848586914834,0.0027458420296435637
7,15,18958,3,2001-11-29,2008-11-29,0.027049378629262044,0.037502003185777094,0.024674280824584782,0.07684762868265578,0.9943278502552467,-0.021542468733334208,-0.024449890578420175,0.002907421845085967
7,15,25278,4,2019-03-20,2026-03-20,0.02737070448268053,0.03972061903347429,0.028544535083183886,0.06238103213620538,0.9943214082907439,0.04729823090157792,0.04414081193143282,0.0031574189701450983
7,30,0,0,1950-01-03,1957-01-03,0.03351985435137128,0.06362782754507959,0.03493435683774493,0.10647993857318432,0.9864937871420854,0.0773305217835265,0.07406160828052677,0.0032689135029997374
7,30,6319,1,1967-04-23,1974-04-23,0.039480065367863526,0.058983229257315396,0.03897924539564568,0.10563400903398763,0.9833141542002302,-0.0008694957374917323,-0.0047204888439196235,0.0038509931064278913
7,30,12639,2,1984-08-11,1991-08-12,0.04172843077675559,0.05747269205170646,0.04356545046708016,0.06946148449068883,0.9773883550028265,0.06623102175681916,0.06179178468122082,0.004439237075598346
7,30,18958,3,2001-11-29,2008-11-29,0.04587580663906965,0.06621598806131292,0.04294557785545483,0.09432786458541342,0.9886557005104935,-0.019829835128128637,-0.02446321984790767,0.004633384719779032
7,30,25278,4,2019-03-20,2026-03-20,0.04989417589966316,0.07409505965943604,0.0529967779064906,0.08175214784892443,0.9880749574105622,0.049134371129746945,0.043605109538702225,0.005529261591044721
7,45,0,0,1950-01-03,1957-01-03,0.04869210993497619,0.08713243635071496,0.0514459779363875,0.128422901158745,0.9800108049702864,0.07876772560095935,0.07417868373208858,0.004589041868870769
7,45,6319,1,1967-04-23,1974-04-23,0.05030213372743075,0.06315023802128673,0.038409125898467344,0.09962835665537485,0.9821634062140391,0.00011648545178610803,-0.004357926368541931,0.004474411820328039
7,45,12639,2,1984-08-11,1991-08-12,0.057152508014528314,0.08616379554245227,0.059016689620977836,0.13005671015989173,0.9824759751271905,0.06773551944358269,0.06196930478168361,0.005766214661899083
7,45,18958,3,2001-11-29,2008-11-29,0.06396094412035058,0.09060920506946726,0.05708907185358525,0.127266581849002,0.9829835507657402,-0.018612386779043644,-0.024805243492921125,0.0061928567138774815
7,45,25278,4,2019-03-20,2026-03-20,0.06530758959041405,0.10791413568554195,0.0714386366998927,0.11596254814416465,0.9823963657013061,0.0509519629589652,0.044134047085666595,0.006817915873298608
7,60,0,0,1950-01-03,1957-01-03,0.059287366407695385,0.11241342886201641,0.06324318197683532,0.16603421742315885,0.9735278227984873,0.07948940620561817,0.07424928444937406,0.005240121756244109
7,60,6319,1,1967-04-23,1974-04-23,0.06656558862392736,0.10014062667748083,0.042990095263115924,0.16263306238624894,0.9758342922899885,0.0011170570234402266,-0.004718863666660966,0.005835920690101193
7,60,12639,2,1984-08-11,1991-08-12,0.06970209623947787,0.09595797124700542,0.07481563854083362,0.08549026305816439,0.9762577727529678,0.06846285854969181,0.061786112334196064,0.0066767462154957435
7,60,18958,3,2001-11-29,2008-11-29,0.08013461363343466,0.11356024970118714,0.07236929063609177,0.16018349285601788,0.9778786159954623,-0.01697748931422871,-0.024471831906549557,0.007494342592320846
7,60,25278,4,2019-03-20,2026-03-20,0.08307016798630484,0.1394216815644021,0.09192124846617045,0.15165177196728813,0.9761499148211243,0.05240006890229476,0.04397511819164879,0.008424950710645973
7,90,0,0,1950-01-03,1957-01-03,0.07976605877282505,0.11537447443590476,0.08452021906649287,0.10847369687451458,0.9594813614262561,0.0801074934717052,0.07370008664240935,0.006407406829295859
7,90,6319,1,1967-04-23,1974-04-23,0.08954750892616792,0.12982035005222448,0.06687898089172029,0.17303698211403729,0.9637514384349828,0.0025906613389929944,-0.004642738954154235,0.00723340029314723
7,90,12639,2,1984-08-11,1991-08-12,0.098660194395509,0.15473430153577447,0.11150518385475894,0.16674481355173573,0.9638213680045223,0.07038387522945277,0.06139383764644002,0.008990037583012755
7,90,18958,3,2001-11-29,2008-11-29,0.11357615524454023,0.14229180323227583,0.10399866848009309,0.1403005712058407,0.9665343165059558,-0.014597823932284593,-0.02475201698039875,0.010154193048114157
7,90,25278,4,2019-03-20,2026-03-20,0.11428107073916283,0.1765833332102907,0.12741880562772456,0.1482401786755018,0.9653605905735377,0.054259955846584385,0.04330612356040531,0.010953832286179077
7,120,0,0,1950-01-03,1957-01-03,0.11080652620666553,0.18918188095217003,0.1206771874282444,0.19227805504315748,0.946515397082658,0.08020077076809473,0.07120172024372118,0.008999050524373553
7,120,6319,1,1967-04-23,1974-04-23,0.1132642432512092,0.13200660389682412,0.07105952795547821,0.1575103892229581,0.9522439585730725,0.003866367786534042,-0.004814357804023284,0.008680725590557326
7,120,12639,2,1984-08-11,1991-08-12,0.12315707101781825,0.20934381247958248,0.14781339179783126,0.20350014622323587,0.9530808366308648,0.07121792263180571,0.0606089425977725,0.01060898003403321
7,120,18958,3,2001-11-29,2008-11-29,0.1363135859690876,0.16303877622577473,0.12575841880466188,0.12801548109210142,0.9540555870674986,-0.012208984305660309,-0.02361415173268444,0.011405167427024132
