date,price,index_name,year,month,day,month_key,quarter_key,week_key,return_factor,investment_signal,cash_inflow,cash_balance,contribution,invested_wealth,wealth,total_contribution,wealth_return
1968-09-09,101.23,S&P 500,1968,9,9,196809,19683,196837,1.000296442687747,False,0.058823529411764705,0.29411764705882354,0.0,532.7518422202436,533.0459598673024,224.0,1.3765489949499452
1968-09-10,100.73,S&P 500,1968,9,10,196809,19683,196837,0.9950607527412823,False,0.058823529411764705,0.3529411764705882,0.0,530.1204491439804,530.473390320451,224.0,1.3644592646690268
1968-09-12,100.52,S&P 500,1968,9,12,196809,19683,196837,0.9979152189020152,False,0.058823529411764705,0.4117647058823529,0.0,529.0152640519498,529.4270287578321,224.0,1.3591767991830004
1968-09-13,100.86,S&P 500,1968,9,13,196809,19683,196837,1.003382411460406,False,0.058823529411764705,0.47058823529411764,0.0,530.8046113438088,531.275199579103,224.0,1.3667920316679116
1968-09-16,101.24,S&P 500,1968,9,16,196809,19683,196838,1.0037675986515961,False,0.058823529411764705,0.5294117647058824,0.0,532.8044700817687,533.3338818464746,224.0,1.3753408413387653
1968-09-17,101.5,S&P 500,1968,9,17,196809,19683,196838,1.0025681548794942,False,0.058823529411764705,0.5882352941176471,0.0,534.1727944814256,534.7610297755433,224.0,1.381073207486704
1968-09-19,101.59,S&P 500,1968,9,19,196809,19683,196838,1.0008866995073893,False,0.058823529411764705,0.6470588235294118,0.0,534.6464452351531,535.2935040586825,224.0,1.3828199971190371
1968-09-20,101.66,S&P 500,1968,9,20,196809,19683,196838,1.0006890441972633,False,0.058823529411764705,0.7058823529411764,0.0,535.0148402658299,535.7207226187711,224.0,1.384097456680395
1968-09-23,102.24,S&P 500,1968,9,23,196809,19683,196839,1.005705292150305,False,0.058823529411764705,0.7647058823529411,0.0,538.0672562342951,538.831962116648,224.0,1.397315717347034
1968-09-24,102.59,S&P 500,1968,9,24,196809,19683,196839,1.0034233176838812,False,0.058823529411764705,0.8235294117647058,0.0,539.9092313876794,540.7327607994441,224.0,1.4051431014104003
1968-09-26,102.36,S&P 500,1968,9,26,196809,19683,196839,0.9977580660883126,False,0.058823529411764705,0.8823529411764706,0.0,538.6987905725982,539.5811435137747,224.0,1.3993930001920405
1968-09-27,102.31,S&P 500,1968,9,27,196809,19683,196839,0.9995115279406018,False,0.058823529411764705,0.9411764705882353,0.0,538.435651264972,539.3768277355603,224.0,1.3978572362721038
1968-09-30,102.67,S&P 500,1968,9,30,196809,19683,196840,1.0035187176229108,True,0.058823529411764705,1.0,1.0,541.3302542798815,541.3302542798815,225.0,1.405912241243918
1968-10-01,102.86,S&P 500,1968,10,1,196810,19684,196840,1.0018505892665823,False,0.05555555555555555,0.05555555555555555,0.0,542.3320342381281,542.3875897936837,225.0,1.4100164444054077
1968-10-03,103.22,S&P 500,1968,10,3,196810,19684,196840,1.0034999027804783,False,0.05555555555555555,0.1111111111111111,0.0,544.2301436327006,544.3412547438116,225.0,1.418100341902421
1968-10-04,103.71,S&P 500,1968,10,4,196810,19684,196840,1.0047471420267389,False,0.05555555555555555,0.16666666666666666,0.0,546.8136814197576,546.9803480864242,225.0,1.4292243438331202
1968-10-07,103.7,S&P 500,1968,10,7,196810,19684,196841,0.9999035772828079,False,0.05555555555555555,0.2222222222222222,0.0,546.7609561587972,546.9831783810193,225.0,1.428637693847644
1968-10-08,103.74,S&P 500,1968,10,8,196810,19684,196841,1.0003857280617163,False,0.05555555555555555,0.2777777777777778,0.0,546.9718572026385,547.2496349804163,225.0,1.429221560948827
1968-10-10,103.29,S&P 500,1968,10,10,196810,19684,196841,0.9956622325043378,False,0.05555555555555555,0.3333333333333333,0.0,544.5992204594229,544.9325537927563,225.0,1.4183397357666698
1968-10-11,103.18,S&P 500,1968,10,11,196810,19684,196841,0.9989350372736955,False,0.05555555555555555,0.38888888888888884,0.0,544.0192425888591,544.408131477748,225.0,1.4154169008132769
1968-10-14,103.32,S&P 500,1968,10,14,196810,19684,196842,1.0013568521031206,False,0.05555555555555555,0.4444444444444444,0.0,544.7573962423039,545.2018406867484,225.0,1.4183423194582234
1968-10-15,103.53,S&P 500,1968,10,15,196810,19684,196842,1.0020325203252034,False,0.05555555555555555,0.5,0.0,545.8646267224713,546.3646267224713,225.0,1.4229030009865689
1968-10-17,104.01,S&P 500,1968,10,17,196810,19684,196842,1.004636337293538,False,0.05555555555555555,0.5555555555555556,0.0,548.3954392485679,548.9509948041234,225.0,1.433772883368035
1968-10-18,104.82,S&P 500,1968,10,18,196810,19684,196842,1.0077877127199306,False,0.05555555555555555,0.611111111111111,0.0,552.6661853863559,553.277296497467,225.0,1.452349504298056
1968-10-21,104.99,S&P 500,1968,10,21,196810,19684,196843,1.0016218278954399,False,0.05555555555555555,0.6666666666666666,0.0,553.5625148226818,554.2291814893484,225.0,1.4559638766145429
1968-10-22,104.57,S&P 500,1968,10,22,196810,19684,196843,0.9959996190113344,False,0.05555555555555555,0.7222222222222222,0.0,551.3480538623472,552.0702760845694,225.0,1.4457949715782057
1968-10-24,103.84,S&P 500,1968,10,24,196810,19684,196843,0.9930190303146219,False,0.05555555555555555,0.7777777777777777,0.0,547.4991098122421,548.2768875900199,225.0,1.4283917265306
1968-10-25,104.2,S&P 500,1968,10,25,196810,19684,196843,1.0034668721109399,False,0.05555555555555555,0.8333333333333333,0.0,549.3972192068145,550.2305525401479,225.0,1.4364452511002859
1968-10-28,103.9,S&P 500,1968,10,28,196810,19684,196844,0.9971209213051824,False,0.05555555555555555,0.8888888888888888,0.0,547.8154613780041,548.704350266893,225.0,1.4290895978367129
1968-10-29,103.3,S&P 500,1968,10,29,196810,19684,196844,0.9942252165543791,False,0.05555555555555555,0.9444444444444444,0.0,544.6519457203832,545.5963901648277,225.0,1.4147369124580518
1968-10-31,103.41,S&P 500,1968,10,31,196810,19684,196844,1.0010648596321394,True,0.05555555555555555,1.0,1.0,546.2319235909471,546.2319235909471,226.0,1.4169554141192346
1968-11-01,103.06,S&P 500,1968,11,1,196811,19684,196844,0.9966154143699836,False,0.058823529411764705,0.058823529411764705,0.0,544.383154871705,544.4419784011167,226.0,1.4084084394532872
1968-11-04,103.1,S&P 500,1968,11,4,196811,19684,196845,1.0003881234232486,False,0.058823529411764705,0.11764705882352941,0.0,544.5944427253326,544.7120897841561,226.0,1.4089764636656228
